iter	RMSE
0	1.572653941
1	1.54693517
2	1.521765871
3	1.498941043
4	1.472750124
5	1.450078825
6	1.424372499
7	1.402933434
8	1.381018401
9	1.360013264
10	1.340516325
11	1.320010152
12	1.299824775
13	1.280373862
14	1.262364755
15	1.245298066
16	1.229302895
17	1.213801941
18	1.199133056
19	1.183680901
20	1.169955545
21	1.155433163
22	1.143542577
23	1.130895835
24	1.117771735
25	1.104493192
26	1.093126485
27	1.082080019
28	1.072208437
29	1.060870333
30	1.051181854
31	1.042163238
32	1.034054622
33	1.025377728
34	1.017437328
35	1.009243309
36	1.002279472
37	0.9951844366
38	0.988378352
39	0.980704447
40	0.9734380652
41	0.9671479494
42	0.9603721201
43	0.9546267621
44	0.9486440185
45	0.9433348267
46	0.938362478
47	0.9327906249
48	0.9264601791
49	0.921604071
50	0.9164319428
51	0.912096387
52	0.9072756783
53	0.9021820746
54	0.897267431
55	0.8925066932
56	0.8870694741
57	0.8828641567
58	0.8788498728
59	0.8751312463
60	0.8705967719
61	0.8671348192
62	0.8644691112
63	0.8608995261
64	0.8575260311
65	0.8542097849
66	0.8511127572
67	0.8460985624
68	0.8421192021
69	0.8384435978
70	0.8362262964
71	0.8311419409
72	0.8277277268
73	0.8249082826
74	0.8227980341
75	0.818929645
76	0.8155713781
77	0.8129066404
78	0.8093338205
79	0.8064585875
80	0.8036055272
81	0.8016455368
82	0.7993362547
83	0.7965711928
84	0.7939182671
85	0.791683251
86	0.7877312052
87	0.7853288659
88	0.7815269131
89	0.7808802825
90	0.7797807806
91	0.7779184345
92	0.775432211
93	0.7748859844
94	0.7717493417
95	0.7697646745
96	0.7671598704
97	0.7650434102
98	0.7620314943
99	0.7597396298
100	0.7563919723
101	0.7541529844
102	0.7522273607
103	0.7493984922
104	0.7476145705
105	0.74529762
106	0.7439529824
107	0.7432773882
108	0.7421171089
109	0.7404373567
110	0.7390136092
111	0.7374988204
112	0.7343488048
113	0.7322678958
114	0.7304830974
115	0.7275613015
116	0.7264081471
117	0.7241516053
118	0.7215113756
119	0.7194756113
120	0.7186863723
121	0.7180380076
122	0.7163903134
123	0.714457562
124	0.7118710434
125	0.709398557
126	0.7082823673
127	0.7070087398
128	0.7057156749
129	0.7027481149
130	0.7006991451
131	0.6995666221
132	0.6980951758
133	0.6956046332
134	0.6944675774
135	0.6935270427
136	0.6922107423
137	0.6903961204
138	0.6884482397
139	0.6862143252
140	0.6838130253
141	0.6830710324
142	0.6822538787
143	0.6805289349
144	0.678678457
145	0.6761588822
146	0.6747705335
147	0.6743321124
148	0.6729898483
149	0.6719951435
150	0.6692577528
151	0.6668359867
152	0.6656255396
153	0.6644036356
154	0.6630548746
155	0.6595589995
156	0.6565476561
157	0.6549434807
158	0.653811791
159	0.6526471614
160	0.6503622114
161	0.6492548203
162	0.647713412
163	0.6463203497
164	0.6447134403
165	0.6416385911
166	0.6412973992
167	0.638349345
168	0.6371432584
169	0.6356326134
170	0.6341881301
171	0.6316748991
172	0.6305047228
173	0.628819403
174	0.6281458081
175	0.6274394638
176	0.626355179
177	0.6250966075
178	0.6241309031
179	0.6210021041
180	0.620075379
181	0.6184822602
182	0.6162459014
183	0.6139877473
184	0.6128057116
185	0.6114707249
186	0.6103946724
187	0.6094382016
188	0.6087985215
189	0.6068792362
190	0.6046267359
191	0.6030172566
192	0.6007561527
193	0.5983918048
194	0.5967117675
195	0.595681791
196	0.5942725021
197	0.592625238
198	0.5903221593
199	0.587647496
200	0.5870803474
201	0.5853767512
202	0.5836024676
203	0.5820089639
204	0.5806149812
205	0.5795286836
206	0.5768532947
207	0.574898292
208	0.5733217841
209	0.5711292643
210	0.5693457086
211	0.5682082818
212	0.5678824556
213	0.5675065396
214	0.5653179665
215	0.5646005112
216	0.5644322547
217	0.5620137316
218	0.5617866283
219	0.5614013107
220	0.5593971357
221	0.5580966861
222	0.5566544545
223	0.5565040329
224	0.5544621321
225	0.5541489579
226	0.5518508711
227	0.5506399501
228	0.5491409426
229	0.5465836924
230	0.5455481192
231	0.5436687857
232	0.5421024506
233	0.5400364996
234	0.5396799507
235	0.5387411582
236	0.5386075645
237	0.5366706403
238	0.5349888312
239	0.5331278562
240	0.532751641
241	0.5308154025
242	0.5284367283
243	0.5265086316
244	0.5237976998
245	0.5232094147
246	0.5212422704
247	0.5210929838
248	0.5194901065
249	0.5192439341
250	0.5183883408
251	0.517052405
252	0.5153542943
253	0.5126270627
254	0.5106959164
255	0.5096542265
256	0.5077328804
257	0.5059510044
258	0.5036555388
259	0.5017040333
260	0.5004107193
261	0.4990176566
262	0.4973096395
263	0.4946473722
264	0.4930712442
265	0.4906928584
266	0.4882305094
267	0.4865460979
268	0.486161252
269	0.4842499708
270	0.4829067831
271	0.4810508392
272	0.4794512549
273	0.4775024373
274	0.4756384382
275	0.4743379687
276	0.4741468683
277	0.4733016222
278	0.4724406929
279	0.4708835988
280	0.4687582084
281	0.4684866367
282	0.4674154756
283	0.4663607644
284	0.4658707843
285	0.4657478817
286	0.4653298973
287	0.4636954494
288	0.4618966104
289	0.4613936931
290	0.4612705039
291	0.459451594
292	0.457714198
293	0.4559704724
294	0.4551703964
295	0.454127779
296	0.45205298
297	0.4505463529
298	0.4485945471
299	0.4480118314
300	0.4471496662
301	0.4457644922
302	0.4431154494
303	0.4409597554
304	0.4408073846
305	0.4387301315
306	0.4370191405
307	0.4359905033
308	0.4353756649
309	0.4338354931
310	0.4321214444
311	0.4320197347
312	0.4318507557
313	0.4317242875
314	0.4296554685
315	0.4275879543
316	0.4262462105
317	0.4252160262
318	0.4234787398
319	0.4229686885
320	0.421733122
321	0.4207920652
322	0.4204425812
323	0.4185408459
324	0.4177647372
325	0.4162182601
326	0.4156215853
327	0.4154242649
328	0.413914342
329	0.4126413148
330	0.4111534797
331	0.4099976312
332	0.4087952987
333	0.4075460943
334	0.4057369002
335	0.4043147563
336	0.4029961057
337	0.4012685043
338	0.4011947377
339	0.4002173511
340	0.3981531642
341	0.3964952486
342	0.3963702102
343	0.3951264314
344	0.3942837089
345	0.3929133512
346	0.3921118557
347	0.3913289681
348	0.390205003
349	0.3894197766
350	0.3880783306
351	0.3870861916
352	0.3857030767
353	0.3844719758
354	0.3833578166
355	0.3823054211
356	0.3815348429
357	0.3801804677
358	0.3788795596
359	0.3787900162
360	0.3779124136
361	0.3766180596
362	0.3751691065
363	0.3742402046
364	0.372942001
365	0.3728670945
366	0.3719924691
367	0.3705119152
368	0.3692709093
369	0.368641256
370	0.3680967807
371	0.3677236223
372	0.3664610148
373	0.3656335771
374	0.364480358
375	0.3643970501
376	0.3638516549
377	0.3633732593
378	0.3631494084
379	0.3624712792
380	0.3611318865
381	0.3598425763
382	0.3587677482
383	0.3571101369
384	0.355995235
385	0.3550298491
386	0.3540938305
387	0.3536211776
388	0.3527700338
389	0.3518178578
390	0.3500660656
391	0.3484003595
392	0.3473122148
393	0.3466311844
394	0.3447044971
395	0.3432530108
396	0.3423200759
397	0.3411553147
398	0.3396529432
399	0.3391856089
400	0.3381881154
401	0.3377148515
402	0.3366163903
403	0.3353240328
404	0.334064144
405	0.3336025634
406	0.3326169585
407	0.3314111638
408	0.3305884037
409	0.3302364693
410	0.3298791496
411	0.3290145842
412	0.3280071479
413	0.3269191112
414	0.3257543821
415	0.3255041556
416	0.3250051653
417	0.3249090422
418	0.3247493527
419	0.3234741155
420	0.3220704609
421	0.3216990712
422	0.320362343
423	0.3198363583
424	0.3184622856
425	0.3178186603
426	0.3173388139
427	0.316377567
428	0.3153977505
429	0.3148360054
430	0.3138456228
431	0.3127235579
432	0.3110383833
433	0.310312863
434	0.309874391
435	0.3090434642
436	0.3078353029
437	0.3062212101
438	0.3056311783
439	0.3052731242
440	0.3048954842
441	0.3035814231
442	0.302767789
443	0.3020143198
444	0.3008424185
445	0.2994259096
446	0.2981760476
447	0.2972010696
448	0.2971155649
449	0.2965385492
450	0.2954672882
451	0.2944835536
452	0.29411928
453	0.2939544181
454	0.2937077075
455	0.2930980476
456	0.2923924899
457	0.2922629041
458	0.2917736928
459	0.2911022994
460	0.2902613257
461	0.2890839124
462	0.2878734326
463	0.2876828444
464	0.28675383
465	0.2858242705
466	0.2852390904
467	0.284691997
468	0.2841380313
469	0.283243334
470	0.2827356953
471	0.2817813638
472	0.2817066756
473	0.2807627174
474	0.2796041556
475	0.2784021905
476	0.2775485082
477	0.277018779
478	0.2762477709
479	0.2758608291
480	0.2751708276
481	0.2744302508
482	0.2735457022
483	0.2728891546
484	0.2727604692
485	0.2718142366
486	0.2711396283
487	0.2697206459
488	0.2686522313
489	0.2677032377
490	0.2672480184
491	0.2662464885
492	0.2654762674
493	0.2645543086
494	0.2642425549
495	0.2632377118
496	0.2627307205
497	0.2616621132
498	0.2612097975
499	0.2607380885
500	0.2598770117
501	0.2595263694
502	0.2587611505
503	0.2577088477
504	0.2569563533
505	0.2557826816
506	0.2548875711
507	0.254723881
508	0.2541169291
509	0.2537903921
510	0.2531272322
511	0.2524226613
512	0.2518435006
513	0.2511446327
514	0.250489167
515	0.2496562053
516	0.2489168832
517	0.2483095339
518	0.247616029
519	0.2471817118
520	0.2468073008
521	0.2464396
522	0.2463439487
523	0.2453086365
524	0.244240524
525	0.2437046218
526	0.2429170126
527	0.2426120935
528	0.2413336135
529	0.2406144267
530	0.239834672
531	0.2394499903
532	0.2392888981
533	0.2391808753
534	0.2390752015
535	0.238500048
536	0.2375083273
537	0.2367896688
538	0.2366942706
539	0.235928985
540	0.2351695278
541	0.2348079793
542	0.2344677188
543	0.2335932749
544	0.2329889365
545	0.2327274798
546	0.2320129783
547	0.2318364859
548	0.2315695639
549	0.2315188513
550	0.2310775435
551	0.2302447946
552	0.2292142619
553	0.2289001518
554	0.2282514902
555	0.2276730662
556	0.2273897823
557	0.2268452255
558	0.2263545403
559	0.2259545718
560	0.2257109835
561	0.2248468024
562	0.2239248413
563	0.2233773506
564	0.2232668278
565	0.2228418716
566	0.2222457574
567	0.2219291898
568	0.2212086059
569	0.2205289796
570	0.2197982773
571	0.2192919054
572	0.2185541777
573	0.2180090061
574	0.2177706378
575	0.217317017
576	0.2169150188
577	0.2168261447
578	0.2162823155
579	0.2154576869
580	0.2148043596
581	0.2143497014
582	0.2137069182
583	0.2131892536
584	0.2127371175
585	0.2119132943
586	0.2116580808
587	0.2112580976
588	0.21060869
589	0.2098279653
590	0.2087803665
591	0.2080830151
592	0.2076105696
593	0.2066509403
594	0.2058119532
595	0.2050032238
596	0.2045926853
597	0.2040282069
598	0.2036826299
599	0.2034354372
600	0.2033649267
601	0.203210895
602	0.2029605425
603	0.2024974804
604	0.2021335703
605	0.2018862118
606	0.2016502242
607	0.201331629
608	0.201170548
609	0.2005956442
610	0.2000376353
611	0.1997271085
612	0.1987097401
613	0.1976576452
614	0.1974559021
615	0.1974028979
616	0.1968260712
617	0.1963020537
618	0.1954715983
619	0.1951301971
620	0.1945107637
621	0.1938712381
622	0.1933490668
623	0.1930790018
624	0.1924977764
625	0.1920846188
626	0.1920354216
627	0.1918639194
628	0.1912618959
629	0.1910769428
630	0.1905875743
631	0.1901580616
632	0.1896030786
633	0.189338015
634	0.1885972594
635	0.1884349998
636	0.1878884484
637	0.1872087438
638	0.1871638315
639	0.1864090214
640	0.1855377181
641	0.1854379304
642	0.1847895699
643	0.1842850855
644	0.183642292
645	0.182913217
646	0.1822714608
647	0.1817637167
648	0.1810895015
649	0.1807249714
650	0.1806963024
651	0.1799845981
652	0.1792449015
653	0.1788804167
654	0.1781663049
655	0.1777708899
656	0.1775845676
657	0.1770789376
658	0.1768790545
659	0.1766544491
660	0.1761887465
661	0.1755374338
662	0.1750206396
663	0.174571556
664	0.1739835311
665	0.1734941632
666	0.1733052409
667	0.1728543031
668	0.1725332628
669	0.172060796
670	0.1720320705
671	0.1714437442
672	0.171142298
673	0.1708268738
674	0.170724645
675	0.1701191206
676	0.1698513797
677	0.1690069072
678	0.1687963768
679	0.1682816267
680	0.1678160753
681	0.1674004297
682	0.1668565385
683	0.1665148376
684	0.1664752836
685	0.1664435697
686	0.1661400438
687	0.1658035565
688	0.1657682722
689	0.1653102023
690	0.1651620675
691	0.1646855825
692	0.164414855
693	0.1639475257
694	0.1635283969
695	0.1631599216
696	0.1631279463
697	0.1627242738
698	0.1624687559
699	0.1621275519
700	0.1615604173
701	0.1612769961
702	0.1608173447
703	0.1603618609
704	0.1596976892
705	0.1592436521
706	0.1588678744
707	0.1584490523
708	0.1584161452
709	0.1579213181
710	0.1576475443
711	0.1574095164
712	0.1569868989
713	0.1567422516
714	0.1566990619
715	0.1558630737
716	0.1555089171
717	0.155114632
718	0.1546506456
719	0.1541974805
720	0.153860865
721	0.153687793
722	0.1534177637
723	0.1532527686
724	0.1531582701
725	0.1526871289
726	0.1524338939
727	0.1523296522
728	0.1519039926
729	0.1515624347
730	0.1515162017
731	0.1514507903
732	0.1512097491
733	0.1509987357
734	0.1504851386
735	0.150054218
736	0.1498513535
737	0.1498003462
738	0.1494673403
739	0.14942216
740	0.149290885
741	0.1490568184
742	0.1490128792
743	0.1489830544
744	0.1486183127
745	0.1484041394
746	0.1482384251
747	0.1479606816
748	0.1474630539
749	0.1471725768
750	0.1469578562
751	0.1464976004
752	0.1461803695
753	0.1460936178
754	0.1459837508
755	0.145729109
756	0.1454794752
757	0.1454527421
758	0.1454337326
759	0.1452558382
760	0.145230238
761	0.1451186732
762	0.1449620381
763	0.1446440178
764	0.1444334227
765	0.144316281
766	0.1440690543
767	0.1437259505
768	0.1436994603
769	0.1434552449
770	0.1433298658
771	0.1429788026
772	0.1426150717
773	0.1423207233
774	0.1422940898
775	0.1421169906
776	0.1418658148
777	0.1416602705
778	0.1414828869
779	0.1412939996
780	0.141094346
781	0.1409441397
782	0.1409229144
783	0.1406664293
784	0.1404133749
785	0.1401196389
786	0.1397658921
787	0.1394042027
788	0.1393813729
789	0.1391402073
790	0.1389198701
791	0.13850824
792	0.1383210406
793	0.1382516267
