iter	Passed	Remaining
0	10	10268
1	17	8686
2	22	7316
3	33	8400
4	40	7974
5	58	9640
6	60	8618
7	66	8297
8	70	7796
9	73	7254
10	75	6764
11	78	6461
12	80	6146
13	83	5866
14	86	5668
15	90	5554
16	92	5325
17	95	5208
18	98	5074
19	101	4971
20	103	4833
21	106	4745
22	109	4651
23	111	4550
24	114	4449
25	129	4846
26	131	4750
27	134	4668
28	139	4671
29	143	4632
30	156	4894
31	158	4809
32	161	4737
33	163	4655
34	166	4580
35	168	4522
36	171	4456
37	173	4399
38	177	4365
39	179	4309
40	182	4262
41	184	4211
42	186	4161
43	189	4111
44	191	4073
45	195	4044
46	197	4005
47	199	3962
48	202	3931
49	205	3910
50	211	3930
51	214	3918
52	217	3879
53	219	3844
54	223	3840
55	226	3815
56	229	3796
57	232	3772
58	236	3765
59	241	3777
60	244	3764
61	247	3740
62	250	3730
63	254	3717
64	257	3704
65	261	3699
66	265	3695
67	268	3683
68	271	3659
69	279	3710
70	284	3727
71	289	3734
72	294	3738
73	301	3768
74	309	3811
75	316	3842
76	321	3856
77	324	3840
78	329	3839
79	332	3822
80	337	3832
81	345	3873
82	350	3875
83	357	3893
84	366	3943
85	388	4130
86	391	4109
87	394	4089
88	396	4062
89	402	4069
90	404	4041
91	409	4041
92	411	4014
93	413	3989
94	416	3965
95	418	3937
96	420	3911
97	422	3891
98	426	3879
99	428	3859
100	431	3838
101	433	3818
102	436	3802
103	439	3783
104	441	3762
105	443	3738
106	445	3718
107	447	3696
108	449	3673
109	451	3652
110	453	3631
111	455	3611
112	457	3593
113	468	3644
114	471	3631
115	475	3626
116	481	3631
117	483	3616
118	486	3602
119	488	3585
120	491	3570
121	494	3560
122	497	3550
123	502	3548
124	505	3537
125	507	3521
126	509	3503
127	512	3494
128	515	3478
129	517	3461
130	519	3445
131	521	3427
132	522	3408
133	524	3391
134	526	3375
135	528	3357
136	529	3337
137	531	3321
138	533	3303
139	535	3287
140	536	3270
141	538	3254
142	541	3242
143	543	3228
144	544	3212
145	546	3197
146	548	3184
147	550	3170
148	552	3155
149	554	3140
150	556	3127
151	557	3112
152	559	3098
153	561	3085
154	563	3070
155	565	3058
156	567	3044
157	568	3031
158	570	3019
159	572	3008
160	574	2995
161	576	2983
162	578	2970
163	580	2957
164	581	2944
165	583	2931
166	585	2918
167	586	2906
168	588	2893
169	590	2881
170	591	2869
171	593	2859
172	595	2847
173	597	2835
174	599	2824
175	600	2812
176	602	2800
177	604	2789
178	605	2778
179	608	2770
180	609	2759
181	611	2748
182	613	2738
183	615	2727
184	616	2717
185	618	2707
186	620	2698
187	622	2687
188	624	2677
189	625	2667
190	627	2657
191	629	2648
192	632	2644
193	634	2637
194	637	2630
195	639	2624
196	641	2616
197	643	2607
198	645	2598
199	647	2590
200	649	2581
201	652	2576
202	654	2567
203	656	2560
204	658	2552
205	659	2543
206	661	2534
207	664	2530
208	666	2522
209	668	2515
210	670	2508
211	672	2499
212	674	2491
213	676	2483
214	677	2474
215	679	2467
216	682	2462
217	684	2454
218	685	2445
219	687	2438
220	689	2431
221	692	2426
222	695	2421
223	696	2414
224	698	2406
225	700	2398
226	702	2390
